plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 2568 HT2,1325225518111HRHB0,601,17.8,53.4,2026-07-01 07:00:00
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,600,5.7,53.9,2026-07-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,547,5.4,53.1,2026-07-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,310,3.2,51.9,2026-07-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,275,7.2,48.8,2026-07-01 07:00:00
PCR,GT1564 NEO,1325215514075TUNE0,239,1.7,48.8,2026-07-01 07:00:00
PCR,GT 1894 MAX,1325218614088TTMX0,232,6.3,45.2,2026-07-01 07:00:00
PCR,GT1915 LT XPC1,1225219Z15008SXC10,214,3.9,50.7,2026-07-01 07:00:00
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,202,4.6,55.5,2026-07-01 07:00:00
PCR,GT 2366 ROYL,1325223516103TURL0,192,14.7,19.3,2026-07-01 07:00:00
PCR,GT 1854 XPC TT,1D25118014010RXPC0,181,15.8,55.7,2026-07-01 07:00:00
PCR,GT 1773 NEO,1325217613082TUNE0,168,1.5,51.2,2026-07-01 07:00:00
PCR,GT 1916 ROYL,1325219416089HURL1,162,7.8,10.9,2026-07-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,134,3.7,54.9,2026-07-01 07:00:00
PCR,GT 2476 SUP MM,1325224716111SELS0,114,1.4,23.9,2026-07-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,105,1.2,37.2,2026-07-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,103,0.7,26.1,2026-07-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,101,11.0,38.4,2026-07-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,83,14.4,35.1,2026-07-01 07:00:00
PCR,GT 1412 XPC MM,1D25114012008QXPC0,73,6.9,51.0,2026-07-01 07:00:00
PCR,GT 2568 RAN AT,1325225518111HRAT0,71,0.9,34.5,2026-07-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,66,0.7,51.4,2026-07-01 07:00:00
PCR,GT 2275 RAN A/T,1325221615109SRAT0,24,32.2,32.7,2026-07-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,15,22.9,25.0,2026-07-01 07:00:00
PCR,GT 1684 ROYL,1325216814085TURL2,8,34.9,38.3,2026-07-01 07:00:00
TBR,295/80R22.5JUL1,"",88,6.0,54.9,2026-07-01 07:00:00
TBR,11.00R20JDE++,"",79,3.8,55.5,2026-07-01 07:00:00
TBR,8.25R20JUH5,"",77,2.2,37.9,2026-07-01 07:00:00
TBR,385/65R22.5JUCXD,"",75,2.4,54.3,2026-07-01 07:00:00
TBR,295/80R22.5JDL,"",69,10.3,50.5,2026-07-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",69,2.2,53.5,2026-07-01 07:00:00
TBR,295/90R20JDCXD,"",67,5.4,50.0,2026-07-01 07:00:00
TBR,10.00 R 20 JDE,"",67,2.7,55.6,2026-07-01 07:00:00
TBR,295/75R22.5JUL3,"",64,24.8,27.1,2026-07-01 07:00:00
TBR,315/70R22.5JUL4,"",63,9.3,37.5,2026-07-01 07:00:00
TBR,10.00 R 20 JUH5,"",61,3.0,53.2,2026-07-01 07:00:00
TBR,10.00 R 20 JUH3+,"",59,2.9,53.5,2026-07-01 07:00:00
TBR,9.00 R 20 JUH5,"",56,10.4,43.4,2026-07-01 07:00:00
TBR,315/70R22.5JDL3,"",52,15.2,45.7,2026-07-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",49,3.9,44.6,2026-07-01 07:00:00
TBR,GT 5018 - 9.00R20 JUC2,"",46,34.8,51.1,2026-07-01 07:00:00
TBR,295/75R22.5JTHSD,"",41,1.4,2.6,2026-07-01 07:00:00
TBR,GT 5079 - 255/70R22.5 JUX E,"",36,18.0,55.3,2026-07-01 07:00:00
TBR,8.25R20JDE++,"",35,20.0,22.3,2026-07-01 07:00:00
TBR,11.00R20 JUH5,"",25,1.1,20.4,2026-07-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",25,8.7,10.8,2026-07-01 07:00:00
TBR,GT 5123 - 385/65R22.5 JUL4,"",24,22.1,48.8,2026-07-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",23,31.6,36.9,2026-07-01 07:00:00
TBR,9.00 R 20 JDE++,"",22,14.4,52.4,2026-07-01 07:00:00
TBR,10.00 R 20 JDC3,"",15,39.7,41.6,2026-07-01 07:00:00
TBR,11.00R20 JUH3,"",7,22.1,49.3,2026-07-01 07:00:00
TBR,10.00R 20 JW302,"",3,0.2,0.3,2026-07-01 07:00:00
