plant,gt_code,sku,qty,month,due_date,day
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,1123.0,2026-01,2026-01-01,1
PCR,GT 1422 MAX,1325214812074TTMX0,346.0,2026-01,2026-01-01,1
PCR,GT 1492 UHL,1325114812074TUHL0,495.0,2026-01,2026-01-01,1
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,218.0,2026-01,2026-01-01,1
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,1873.0,2026-01,2026-01-01,1
PCR,GT 1543 XPC1,1D25215013008SXC1T,286.0,2026-01,2026-01-01,1
PCR,GT 1583 NEO TATA,1325215813079TUNE5,520.0,2026-01,2026-01-01,1
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,441.0,2026-01,2026-01-01,1
PCR,GT 1765 ROYL,1325217515084HURL2,316.0,2026-01,2026-01-01,1
PCR,GT 1844 UXT,1325218514086HUTR0,18.0,2026-01,2026-01-01,1
PCR,GT 1844 XPC TML,1D25218014010RXPCT,240.0,2026-01,2026-01-01,1
PCR,GT 1854 XPC TT,1D25118014010RXPC0,96.0,2026-01,2026-01-01,1
PCR,GT 1894 MAX,1325218614088TTMX0,309.0,2026-01,2026-01-01,1
PCR,GT 1925 XPC1,1225219Z15008SXC11,312.0,2026-01,2026-01-01,1
PCR,GT 1995 ROYL KIA,1325219515091HURL2,919.0,2026-01,2026-01-01,1
PCR,GT 2158 ROYL HYU,1325221318095HURL0,515.0,2026-01,2026-01-01,1
PCR,GT 2258 RAN HPE,1325222318098HRHE0,164.0,2026-01,2026-01-01,1
PCR,GT 2267 ROYL HYU,1325221417096HURL0,1241.0,2026-01,2026-01-01,1
PCR,GT 2367 RAN XATW,1325223517104TRXT0,260.0,2026-01,2026-01-01,1
PCR,GT 2455 RAN A/T,1325221715100SRAT0,461.0,2026-01,2026-01-01,1
PCR,GT 2476 SUP MM,1325224716111SELS0,551.0,2026-01,2026-01-01,1
PCR,GT 2568 HT2,1325225518111HRHB0,814.0,2026-01,2026-01-01,1
PCR,GT 2617 RAN XAT,1325226517112HRXT0,50.0,2026-01,2026-01-01,1
PCR,GT 3125 RAN MT,1325231015109QRMT0,82.0,2026-01,2026-01-01,1
PCR,GT1814 XPC,1D25218Z14008QXPC0,234.0,2026-01,2026-01-01,1
PCR,GT2266 RAN HT,1325221516098HRHT0,164.0,2026-01,2026-01-01,1
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,891.0,2026-01,2026-01-02,2
PCR,GT 1422 MAX,1325214812074TTMX0,278.0,2026-01,2026-01-02,2
PCR,GT 1492 UHL,1325114812074TUHL0,374.0,2026-01,2026-01-02,2
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,777.0,2026-01,2026-01-02,2
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,2008.0,2026-01,2026-01-02,2
PCR,GT 1543 XPC1,1D25215013008SXC1T,276.0,2026-01,2026-01-02,2
PCR,GT 1583 NEO TATA,1325215813079TUNE5,507.0,2026-01,2026-01-02,2
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,442.0,2026-01,2026-01-02,2
PCR,GT 1765 ROYL,1325217515084HURL2,324.0,2026-01,2026-01-02,2
PCR,GT 1844 XPC TML,1D25218014010RXPCT,246.0,2026-01,2026-01-02,2
PCR,GT 1854 XPC TT,1D25118014010RXPC0,120.0,2026-01,2026-01-02,2
PCR,GT 1894 MAX,1325218614088TTMX0,1.0,2026-01,2026-01-02,2
PCR,GT 1925 XPC1,1225219Z15008SXC11,331.0,2026-01,2026-01-02,2
PCR,GT 1995 ROYL KIA,1325219515091HURL2,875.0,2026-01,2026-01-02,2
PCR,GT 2158 ROYL HYU,1325221318095HURL0,920.0,2026-01,2026-01-02,2
PCR,GT 2258 RAN HPE,1325222318098HRHE0,83.0,2026-01,2026-01-02,2
PCR,GT 2267 ROYL HYU,1325221417096HURL0,1191.0,2026-01,2026-01-02,2
PCR,GT 2367 RAN XATW,1325223517104TRXT0,54.0,2026-01,2026-01-02,2
PCR,GT 2455 RAN A/T,1325221715100SRAT0,410.0,2026-01,2026-01-02,2
PCR,GT 2476 SUP MM,1325224716111SELS0,424.0,2026-01,2026-01-02,2
PCR,GT 2568 HT2,1325225518111HRHB0,804.0,2026-01,2026-01-02,2
PCR,GT 3125 RAN MT,1325231015109QRMT0,42.0,2026-01,2026-01-02,2
PCR,GT1814 XPC,1D25218Z14008QXPC0,230.0,2026-01,2026-01-02,2
PCR,GT2266 RAN HT,1325221516098HRHT0,223.0,2026-01,2026-01-02,2
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,1122.0,2026-01,2026-01-03,3
PCR,GT 1422 MAX,1325214812074TTMX0,354.0,2026-01,2026-01-03,3
PCR,GT 1492 UHL,1325114812074TUHL0,498.0,2026-01,2026-01-03,3
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,1018.0,2026-01,2026-01-03,3
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,2097.0,2026-01,2026-01-03,3
PCR,GT 1543 XPC1,1D25215013008SXC1T,265.0,2026-01,2026-01-03,3
PCR,GT 1583 NEO TATA,1325215813079TUNE5,380.0,2026-01,2026-01-03,3
