plant,gt_code,sku,qty,month,due_date,day
PCR,GT  T1457 STAR,1325214617107MSXT0,11220,2026-08,2026-08-31,31
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,27939,2026-08,2026-08-31,31
PCR,GT 1412 XPC MM,1D25114012008QXPC0,3677,2026-08,2026-08-31,31
PCR,GT 1452 XPC MM,1D25214012008QXPCM,509,2026-08,2026-08-31,31
PCR,GT 1482 UHL,1325214812074TUHL0,17544,2026-08,2026-08-31,31
PCR,GT 1483 UHL,1325214813075SUHL0,100,2026-08,2026-08-31,31
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,39120,2026-08,2026-08-31,31
PCR,GT 1512 XPC1,1225215Z12008RXC10,162,2026-08,2026-08-31,31
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,62630,2026-08,2026-08-31,31
PCR,GT 1583 NEO TATA,1325215813079TUNE5,13200,2026-08,2026-08-31,31
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,12320,2026-08,2026-08-31,31
PCR,GT 1672 SPT,1325216612077TUSP0,2029,2026-08,2026-08-31,31
PCR,GT 1673 NEO,1325216613079HUNE0,4417,2026-08,2026-08-31,31
PCR,GT 1765 ROYL,1325217515084HURL2,14653,2026-08,2026-08-31,31
PCR,GT 1772 NEO,1325217612080HUNE0,1178,2026-08,2026-08-31,31
PCR,GT 1773 NEO,1325217613082TUNE0,10560,2026-08,2026-08-31,31
PCR,GT 1773 NEOPS,1325217613082TUNEE,115,2026-08,2026-08-31,31
PCR,GT 1844 UXT,1325218514086HUTR0,1540,2026-08,2026-08-31,31
PCR,GT 1844 XPC TML,1D25218014010RXPCT,10644,2026-08,2026-08-31,31
PCR,GT 1854 XPC TT,1D25118014010RXPC0,2495,2026-08,2026-08-31,31
PCR,GT 1856 ROYL,1325218316083HURL0,711,2026-08,2026-08-31,31
PCR,GT 1873 NEO,1325218613086HUNE0,522,2026-08,2026-08-31,31
PCR,GT 1894 MAX,1325218614088TTMX0,4368,2026-08,2026-08-31,31
PCR,GT 1905 XPC1,1225119Z15008SXC10,133,2026-08,2026-08-31,31
PCR,GT 1925 XPC1,1225219Z15008SXC11,12614,2026-08,2026-08-31,31
PCR,GT 1965 ROYL,1325219515091HURL3,1320,2026-08,2026-08-31,31
PCR,GT 1966 RAN HPE,1325219416089VRHE0,41,2026-08,2026-08-31,31
PCR,GT 1975 UX1 EXP,1325219415092VUX10,2059,2026-08,2026-08-31,31
PCR,GT 1985 UX1 XL,1325219315089VUX1E,1070,2026-08,2026-08-31,31
PCR,GT 1995 ROYL KIA,1325219515091HURL2,19205,2026-08,2026-08-31,31
PCR,GT 2056 ROYL,1325220516095HURP0,516,2026-08,2026-08-31,31
PCR,GT 2057 UX1,1325221217095VUX10,222,2026-08,2026-08-31,31
PCR,GT 2076 RAN HT,1325220416092HRHT0,1886,2026-08,2026-08-31,31
PCR,GT 2126 ROYL,1325221516098HURL0,394,2026-08,2026-08-31,31
PCR,GT 2157 ROYL KIA,1325221317094VURL0,731,2026-08,2026-08-31,31
PCR,GT 2158 ROYL HYU,1325221318095HURL0,16500,2026-08,2026-08-31,31
PCR,GT 2226 LEVI,1325222316099YLEVY,124,2026-08,2026-08-31,31
PCR,GT 2247 LEVI,1325222117094YLEV0,713,2026-08,2026-08-31,31
PCR,GT 2258 RAN HPE,1325222318098HRHE0,9484,2026-08,2026-08-31,31
PCR,GT 2267 ROYL HYU,1325221417096HURL0,34101,2026-08,2026-08-31,31
PCR,GT 2267 ROYL PG,1325221417096HURP0,815,2026-08,2026-08-31,31
PCR,GT 2268 UX1,1325222418104HUX10,734,2026-08,2026-08-31,31
PCR,GT 2276 RAN HT,1325227616114TRHT0,239,2026-08,2026-08-31,31
PCR,GT 2366 ROYL,1325223516103TURL0,51,2026-08,2026-08-31,31
PCR,GT 2367 RAN XATW,1325223517104TRXT0,2360,2026-08,2026-08-31,31
PCR,GT 2428 LEVI,1325224118100WLEV0,114,2026-08,2026-08-31,31
PCR,GT 2455 RAN A/T,1325221715100SRAT0,3245,2026-08,2026-08-31,31
PCR,GT 2457 LEVI,1325222317101YLEVY,189,2026-08,2026-08-31,31
PCR,GT 2476 SUP MM,1325224716111SELS0,27500,2026-08,2026-08-31,31
PCR,GT 2526 ROYL PG,1325221416095VURP0,44,2026-08,2026-08-31,31
PCR,GT 2557 HPE KIA,1325221317094VRHE3,1188,2026-08,2026-08-31,31
PCR,GT 2568 HT2,1325225518111HRHB0,11500,2026-08,2026-08-31,31
PCR,GT 2568 RAN AT,1325225518111HRAT0,3050,2026-08,2026-08-31,31
PCR,GT 2568 RAN HTP,1325225418108HRHT0,739,2026-08,2026-08-31,31
PCR,GT 2575 RAN A/T,1325220615106SRAT0,1457,2026-08,2026-08-31,31
PCR,GT 2576 EZO TATA,1325223616109SELZ0,497,2026-08,2026-08-31,31
PCR,GT 2617 RAN XAT,1325226517112HRXT0,466,2026-08,2026-08-31,31
PCR,GT 2618 RAN ATB,1325225518111HRAT1,777,2026-08,2026-08-31,31
PCR,GT 2666 RAN HT,1325226616111TRHT0,281,2026-08,2026-08-31,31
PCR,GT 2668 RAN HTP,1325226418110HRHP0,1378,2026-08,2026-08-31,31
PCR,GT 2676 RAN MT,1325226716123KRMT0,326,2026-08,2026-08-31,31
PCR,GT 2737 LEVI,1325223317103YLEV0,243,2026-08,2026-08-31,31
PCR,GT 2856 RAN MT,1325223916120NRMT0,283,2026-08,2026-08-31,31
PCR,GT 3125 RAN MT,1325231015109QRMT0,1229,2026-08,2026-08-31,31
PCR,GT1513 NEO,1325215513073TUNE0,5027,2026-08,2026-08-31,31
PCR,GT1564 NEO,1325215514075TUNE0,4745,2026-08,2026-08-31,31
PCR,GT1814 XPC,1D25218Z14008QXPC0,1541,2026-08,2026-08-31,31
PCR,GT1824 XPC1,1D25218Z14008RXC10,117,2026-08,2026-08-31,31
PCR,GT1914 XPC1,1D25219Z14008SXC10,5230,2026-08,2026-08-31,31
PCR,GT1915 LT XPC1,1225219Z15008SXC10,4628,2026-08,2026-08-31,31
PCR,GT2266 RAN HT,1325221516098HRHT0,936,2026-08,2026-08-31,31
PCR,GT2277 RAN HT,1325222517102HRHT0,1312,2026-08,2026-08-31,31
PCR,GT2776 RAN AT,1325223616105TRAT0,4139,2026-08,2026-08-31,31
TBR,10.00 R 20 JDE,1121110020016KDEP0,331,2026-08,2026-08-31,31
TBR,10.00 R 20 JDE,1121129A20000JDEP0,12605,2026-08,2026-08-31,31
TBR,10.00 R 20 JUH5,1122110020016KUH50,10708,2026-08,2026-08-31,31
TBR,10.00 R 20 JUH5,1122129A20000JUH50,8548,2026-08,2026-08-31,31
TBR,10.00R 20 JW302,1123129A20152JUCM0,2705,2026-08,2026-08-31,31
TBR,10.00R20JUC,1123110020016KJUC0,1489,2026-08,2026-08-31,31
TBR,11.00R20 JUH3,1122111020016KJH30,59,2026-08,2026-08-31,31
TBR,11.00R20 JUH5,1122111020016KUH50,1128,2026-08,2026-08-31,31
TBR,11R22.5JDH,115121102C016LJDH0,110,2026-08,2026-08-31,31
TBR,11R22.5JUHE,115221102C016MJUH0,496,2026-08,2026-08-31,31
TBR,255/70R22.5JTH1,115222562C016MTH10,247,2026-08,2026-08-31,31
TBR,295/80R22.5JDL,112122982C016MJDL0,1441,2026-08,2026-08-31,31
TBR,295/80R22.5JUL1,112222982C016MJUM0,2380,2026-08,2026-08-31,31
TBR,295/90R20JDCXD,1121129A20152JCXD0,812,2026-08,2026-08-31,31
TBR,315/80R22.5JUL3,115223182C018MVL30,107,2026-08,2026-08-31,31
TBR,315/80R22.5JUL4,115223182C018LUL40,626,2026-08,2026-08-31,31
TBR,385/65R22.5JTL,115223852C020KJTL0,583,2026-08,2026-08-31,31
TBR,385/65R22.5JTL,115223852C024KVTLV,145,2026-08,2026-08-31,31
TBR,385/65R22.5JUH6,115223852C020KUH60,181,2026-08,2026-08-31,31
TBR,385/65R22.5JUH6,115223852C020KVH60,880,2026-08,2026-08-31,31
TBR,385/65R22.5JUH6,115223852C024KUH60,347,2026-08,2026-08-31,31
TBR,8.25R20JDE++,1121182020016KDEP0,4753,2026-08,2026-08-31,31
TBR,8.25R20JUH3+,1122182020016KH3P0,209,2026-08,2026-08-31,31
TBR,8.25R20JUH5,1122182020016KUH50,4077,2026-08,2026-08-31,31
TBR,8.25R20VUH3+,1152182020016KH3PV,276,2026-08,2026-08-31,31
