plant,gt_code,sku,qty,month,due_date,day
PCR,GT  T1457 STAR,1325214617107MSXT0,184.0,2026-05,2026-05-01,1
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,362.0,2026-05,2026-05-01,1
PCR,GT 1412 XPC MM,1D25114012008QXPC0,106.0,2026-05,2026-05-01,1
PCR,GT 1482 UHL,1325214812074TUHL0,197.0,2026-05,2026-05-01,1
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,613.0,2026-05,2026-05-01,1
PCR,GT 1512 XPC1,1225215Z12008RXC10,84.0,2026-05,2026-05-01,1
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,580.0,2026-05,2026-05-01,1
PCR,GT 1543 XPC1,1D25215013008SXC1T,278.0,2026-05,2026-05-01,1
PCR,GT 1583 NEO TATA,1325215813079TUNE5,209.0,2026-05,2026-05-01,1
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,182.0,2026-05,2026-05-01,1
PCR,GT 1673 NEO,1325216613079HUNE0,42.0,2026-05,2026-05-01,1
PCR,GT 1684 ROYL,1325216814085TURL2,88.0,2026-05,2026-05-01,1
PCR,GT 1765 ROYL,1325217515084HURL2,204.0,2026-05,2026-05-01,1
PCR,GT 1844 XPC TML,1D25218014010RXPCT,131.0,2026-05,2026-05-01,1
PCR,GT 1865 ROYL RENO,1325218515088TURL1,66.0,2026-05,2026-05-01,1
PCR,GT 1916 ROYL,1325219416089HURL1,56.0,2026-05,2026-05-01,1
PCR,GT 1925 XPC1,1225219Z15008SXC11,168.0,2026-05,2026-05-01,1
PCR,GT 1995 ROYL KIA,1325219515091HURL2,361.0,2026-05,2026-05-01,1
PCR,GT 2158 ROYL HYU,1325221318095HURL0,122.0,2026-05,2026-05-01,1
PCR,GT 2258 RAN HPE,1325222318098HRHE0,180.0,2026-05,2026-05-01,1
PCR,GT 2267 ROYL HYU,1325221417096HURL0,569.0,2026-05,2026-05-01,1
PCR,GT 2276 RAN HT,1325227616114TRHT0,72.0,2026-05,2026-05-01,1
PCR,GT 2366 ROYL,1325223516103TURL0,14.0,2026-05,2026-05-01,1
PCR,GT 2457 LEVI,1325222317101YLEVY,18.0,2026-05,2026-05-01,1
PCR,GT 2476 SUP MM,1325224716111SELS0,44.0,2026-05,2026-05-01,1
PCR,GT 2568 HT2,1325225518111HRHB0,244.0,2026-05,2026-05-01,1
PCR,GT1915 LT XPC1,1225219Z15008SXC10,22.0,2026-05,2026-05-01,1
PCR,GT  T1457 STAR,1325214617107MSXT0,286.0,2026-05,2026-05-02,2
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,622.0,2026-05,2026-05-02,2
